CVE_SUN	CVE_ENT	CVE_MUN	CVE_SUNMUN	NOM_ENT	NOM_MUN	NOM_SUN	TIPO_SUN
1	1	1001	101001	Aguascalientes	Aguascalientes	Aguascalientes	1
1	1	1005	101005	Aguascalientes	Jesús María	Aguascalientes	1
1	1	1011	101011	Aguascalientes	San Francisco de los Romo	Aguascalientes	1
2	2	2003	202003	Baja California	Tecate	Tijuana	1
2	2	2004	202004	Baja California	Tijuana	Tijuana	1
2	2	2005	202005	Baja California	Playas de Rosarito	Tijuana	1
3	2	2002	302002	Baja California	Mexicali	Mexicali	1
4	5	5017	405017	Coahuila de Zaragoza	Matamoros	La Laguna	1
4	5	5035	405035	Coahuila de Zaragoza	Torreón	La Laguna	1
4	10	10007	410007	Durango	Gómez Palacio	La Laguna	1
4	10	10012	410012	Durango	Lerdo	La Laguna	1
5	5	5004	505004	Coahuila de Zaragoza	Arteaga	Saltillo	1
5	5	5027	505027	Coahuila de Zaragoza	Ramos Arizpe	Saltillo	1
5	5	5030	505030	Coahuila de Zaragoza	Saltillo	Saltillo	1
6	5	5006	605006	Coahuila de Zaragoza	Castaños	Monclova-Frontera	1
6	5	5010	605010	Coahuila de Zaragoza	Frontera	Monclova-Frontera	1
6	5	5018	605018	Coahuila de Zaragoza	Monclova	Monclova-Frontera	1
7	5	5022	705022	Coahuila de Zaragoza	Nava	Piedras Negras	1
7	5	5025	705025	Coahuila de Zaragoza	Piedras Negras	Piedras Negras	1
8	6	6002	806002	Colima	Colima	Colima-Villa de Álvarez	1
8	6	6003	806003	Colima	Comala	Colima-Villa de Álvarez	1
8	6	6004	806004	Colima	Coquimatlán	Colima-Villa de Álvarez	1
8	6	6005	806005	Colima	Cuauhtémoc	Colima-Villa de Álvarez	1
8	6	6010	806010	Colima	Villa de Álvarez	Colima-Villa de Álvarez	1
9	6	6001	906001	Colima	Armería	Tecomán	1
9	6	6009	906009	Colima	Tecomán	Tecomán	1
10	7	7012	1007012	Chiapas	Berriozábal	Tuxtla Gutiérrez	1
10	7	7027	1007027	Chiapas	Chiapa de Corzo	Tuxtla Gutiérrez	1
10	7	7101	1007101	Chiapas	Tuxtla Gutiérrez	Tuxtla Gutiérrez	1
11	8	8037	1108037	Chihuahua	Juárez	Juárez	1
12	8	8002	1208002	Chihuahua	Aldama	Chihuahua	1
12	8	8004	1208004	Chihuahua	Aquiles Serdán	Chihuahua	1
12	8	8019	1208019	Chihuahua	Chihuahua	Chihuahua	1
13	9	9002	1309002	Ciudad de México	Azcapotzalco	Valle de México	1
13	9	9003	1309003	Ciudad de México	Coyoacán	Valle de México	1
13	9	9004	1309004	Ciudad de México	Cuajimalpa de Morelos	Valle de México	1
13	9	9005	1309005	Ciudad de México	Gustavo A. Madero	Valle de México	1
13	9	9006	1309006	Ciudad de México	Iztacalco	Valle de México	1
13	9	9007	1309007	Ciudad de México	Iztapalapa	Valle de México	1
13	9	9008	1309008	Ciudad de México	La Magdalena Contreras	Valle de México	1
13	9	9009	1309009	Ciudad de México	Milpa Alta	Valle de México	1
13	9	9010	1309010	Ciudad de México	Álvaro Obregón	Valle de México	1
13	9	9011	1309011	Ciudad de México	Tláhuac	Valle de México	1
13	9	9012	1309012	Ciudad de México	Tlalpan	Valle de México	1
13	9	9013	1309013	Ciudad de México	Xochimilco	Valle de México	1
13	9	9014	1309014	Ciudad de México	Benito Juárez	Valle de México	1
13	9	9015	1309015	Ciudad de México	Cuauhtémoc	Valle de México	1
13	9	9016	1309016	Ciudad de México	Miguel Hidalgo	Valle de México	1
13	9	9017	1309017	Ciudad de México	Venustiano Carranza	Valle de México	1
13	13	13069	1313069	Hidalgo	Tizayuca	Valle de México	1
13	15	15002	1315002	México	Acolman	Valle de México	1
13	15	15009	1315009	México	Amecameca	Valle de México	1
13	15	15010	1315010	México	Apaxco	Valle de México	1
13	15	15011	1315011	México	Atenco	Valle de México	1
13	15	15013	1315013	México	Atizapán de Zaragoza	Valle de México	1
13	15	15015	1315015	México	Atlautla	Valle de México	1
13	15	15016	1315016	México	Axapusco	Valle de México	1
13	15	15017	1315017	México	Ayapango	Valle de México	1
13	15	15020	1315020	México	Coacalco de Berriozábal	Valle de México	1
13	15	15022	1315022	México	Cocotitlán	Valle de México	1
13	15	15023	1315023	México	Coyotepec	Valle de México	1
13	15	15024	1315024	México	Cuautitlán	Valle de México	1
13	15	15025	1315025	México	Chalco	Valle de México	1
13	15	15028	1315028	México	Chiautla	Valle de México	1
13	15	15029	1315029	México	Chicoloapan	Valle de México	1
13	15	15030	1315030	México	Chiconcuac	Valle de México	1
13	15	15031	1315031	México	Chimalhuacán	Valle de México	1
13	15	15033	1315033	México	Ecatepec de Morelos	Valle de México	1
13	15	15034	1315034	México	Ecatzingo	Valle de México	1
13	15	15035	1315035	México	Huehuetoca	Valle de México	1
13	15	15036	1315036	México	Hueypoxtla	Valle de México	1
13	15	15037	1315037	México	Huixquilucan	Valle de México	1
13	15	15038	1315038	México	Isidro Fabela	Valle de México	1
13	15	15039	1315039	México	Ixtapaluca	Valle de México	1
13	15	15044	1315044	México	Jaltenco	Valle de México	1
13	15	15046	1315046	México	Jilotzingo	Valle de México	1
13	15	15050	1315050	México	Juchitepec	Valle de México	1
13	15	15053	1315053	México	Melchor Ocampo	Valle de México	1
13	15	15057	1315057	México	Naucalpan de Juárez	Valle de México	1
13	15	15058	1315058	México	Nezahualcóyotl	Valle de México	1
13	15	15059	1315059	México	Nextlalpan	Valle de México	1
13	15	15060	1315060	México	Nicolás Romero	Valle de México	1
13	15	15061	1315061	México	Nopaltepec	Valle de México	1
13	15	15065	1315065	México	Otumba	Valle de México	1
13	15	15068	1315068	México	Ozumba	Valle de México	1
13	15	15069	1315069	México	Papalotla	Valle de México	1
13	15	15070	1315070	México	La Paz	Valle de México	1
13	15	15075	1315075	México	San Martín de las Pirámides	Valle de México	1
13	15	15081	1315081	México	Tecámac	Valle de México	1
13	15	15083	1315083	México	Temamatla	Valle de México	1
13	15	15084	1315084	México	Temascalapa	Valle de México	1
